City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
223,Banjar,ID,-8.19,114.9675,87.66,68,48,5.17,scattered clouds
224,Azul,AR,-36.777,-59.8585,56.41,45,74,5.88,broken clouds
225,Sisimiut,GL,66.9395,-53.6735,5.5,89,100,5.41,overcast clouds
226,Ormara,PK,25.2088,64.6357,71.64,39,0,6.46,clear sky
227,Bosaso,SO,11.2842,49.1816,74.28,82,28,3.29,scattered clouds
228,Porto Murtinho,BR,-21.6989,-57.8825,84.06,51,38,8.86,scattered clouds
229,Amalapuram,IN,16.5833,82.0167,71.98,75,18,2.33,few clouds
230,Ardabil,IR,38.2498,48.2933,22.8,76,100,6.51,overcast clouds
231,Brattleboro,US,42.8509,-72.5579,14.22,83,20,2.35,few clouds
232,Namatanai,PG,-3.6667,152.4333,84.0,70,100,9.04,light rain
233,Port Blair,IN,11.6667,92.75,75.24,78,40,3.44,mist
234,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,62,0,7.0,clear sky
235,Luderitz,NA,-26.6481,15.1594,63.72,94,30,7.11,scattered clouds
236,Ternova,UA,50.1849,36.6757,29.98,91,100,14.43,light snow
237,Port Hedland,AU,-20.3167,118.5667,93.25,62,98,12.66,overcast clouds
238,Thinadhoo,MV,0.5333,72.9333,82.76,69,19,10.98,few clouds
239,Lorengau,PG,-2.0226,147.2712,77.7,91,100,15.23,overcast clouds
240,Makakilo City,US,21.3469,-158.0858,74.28,66,75,6.91,broken clouds
241,Bac Lieu,VN,9.285,105.7244,83.97,66,24,17.6,few clouds
242,Mwense,ZM,-10.3845,28.698,62.4,98,99,2.33,overcast clouds
243,Faanui,PF,-16.4833,-151.75,81.18,73,6,19.19,light rain
244,Poya,NC,-21.35,165.15,86.61,61,89,8.93,overcast clouds
245,Mahibadhoo,MV,3.7833,72.9667,82.8,75,19,14.29,few clouds
246,Dunedin,NZ,-45.8742,170.5036,65.8,81,100,5.99,overcast clouds
247,Bayir,TR,37.2687,28.2167,28.92,72,100,5.41,overcast clouds
248,Buin,CL,-33.7333,-70.75,71.87,59,0,2.04,clear sky
249,Tucuman,AR,-26.8241,-65.2226,75.2,60,75,12.66,broken clouds
250,Menongue,AO,-14.6585,17.691,62.11,62,100,5.39,overcast clouds
251,Terrace,CA,54.5163,-128.6035,28.49,98,95,1.48,light snow
252,Loule,PT,37.1377,-8.0197,47.91,62,0,0.0,clear sky
253,Tubuala,PA,9.5167,-79.0333,76.55,78,14,13.18,few clouds
254,Vestmannaeyjar,IS,63.4427,-20.2734,34.36,78,28,39.64,scattered clouds
