City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
534,Manaure,CO,76.42,clear sky,11.7751,-72.4445,Hotel Palaaima
537,Sur,OM,72.16,clear sky,22.5667,59.5289,Sur Plaza Hotel
538,Santa Vitoria Do Palmar,BR,61.14,clear sky,-33.5189,-53.3681,Hostel Comodoro
539,Jalu,LY,51.12,clear sky,29.0331,21.5482,صاحبة الفخامة
542,Balaka,MW,66.79,clear sky,-14.9793,34.9558,Sun Village Lodge
543,Morant Bay,JM,76.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
548,Sambava,MG,76.14,overcast clouds,-14.2667,50.1667,Melrose
549,Maun,BW,65.95,scattered clouds,-19.9833,23.4167,Enviro Villa
550,Tsiroanomandidy,MG,64.54,scattered clouds,-18.7667,46.0333,Hotel Ravinala
551,Lindsay,US,52.0,clear sky,36.203,-119.0882,Lindsay Inn
552,Kingaroy,AU,89.67,light rain,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
554,Ampanihy,MG,67.01,scattered clouds,-24.7,44.75,Angora Hotel
562,Vila Franca Do Campo,PT,58.19,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
566,Vaitape,PF,81.21,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
568,Marsh Harbour,BS,65.1,clear sky,26.5412,-77.0636,Abaco Beach Resort
572,Anori,BR,72.79,overcast clouds,-3.7728,-61.6442,Novo Hotel 5 Irmãos
575,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
578,Yook,PH,80.42,overcast clouds,13.2261,121.964,Pielago's Residences
579,Santa Luzia,BR,68.9,clear sky,-19.7697,-43.8514,Pousada Chao Earth
580,Kokopo,PG,83.16,light rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
582,Bom Jesus,BR,75.38,scattered clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
584,Fremont,US,53.96,broken clouds,37.5483,-121.9886,Best Western Plus Garden Court Inn
586,Kavaratti,IN,80.49,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
587,Bambanglipuro,ID,76.6,overcast clouds,-7.95,110.2833,Puri Brata
588,Ibb,YE,56.23,clear sky,13.9667,44.1833,Hotel Amenities
593,Scarborough,GB,50.52,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
596,San Quintin,MX,57.65,broken clouds,30.4833,-115.95,Don Eddie's Landing
600,Giyon,ET,57.04,scattered clouds,8.5333,37.9833,Negash Lodge
601,Ponta Delgada,PT,58.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
603,Sungairaya,ID,85.48,overcast clouds,0.7,108.9,Mess P.Milu
605,Trelew,AR,71.24,clear sky,-43.249,-65.3051,Hotel Touring Club
606,Puerto Cabezas,NI,70.86,clear sky,14.0351,-83.3888,Cabaña Caribe
